bus_i;bus_type;Pd;Qd;Gs;Bs;bus_area;Vm;Va;base_kV;zone;Vmax;Vmin
65;1;0.0;0.0;0;0;0;0.9601745420168352;-0.779465758750474;22;0;1.05;0.95
66;1;0.028748447773318933;0.009448752191439777;0;0;0;0.9601745402718308;-0.7794658113628524;22;0;1.05;0.95
67;1;0.020732232597557843;0.006814063150672876;0;0;0;0.9597268599419292;-0.7961325858520292;22;0;1.05;0.95
68;1;0.007450921179476719;0.002448894330781701;0;0;0;0.958507584365568;-0.8177470022596912;22;0;1.05;0.95
69;1;0.019115302183908046;0.006282626494252873;0;0;0;0.9569210203808765;-0.8459462908989179;22;0;1.05;0.95
70;1;0.08213282843308484;0.026994596783157944;0;0;0;0.956109307644096;-0.8604193658064887;22;0;1.05;0.95
71;1;0.0;0.0;0;0;0;0.9555966448434556;-0.8696313015235669;22;0;1.05;0.95
72;1;0.0;0.0;0;0;0;0.954834831627682;-0.883540809607407;22;0;1.05;0.95
73;1;0.2990953443810592;0.09830366707571467;0;0;0;0.9548252961348742;-0.8837160996539206;22;0;1.05;0.95
74;1;0.0;0.0;0;0;0;0.9548147864455052;-0.8839220994946416;22;0;1.05;0.95
75;1;0.0;0.0;0;0;0;0.9542581596074632;-0.8876168031889035;22;0;1.05;0.95
76;1;0.0;0.0;0;0;0;0.9542579506839742;-0.887624181379678;22;0;1.05;0.95
77;1;0.0;0.0;0;0;0;0.9542579125874988;-0.8876256578536006;22;0;1.05;0.95
78;1;0.0;0.0;0;0;0;0.9542578641547712;-0.887627534921393;22;0;1.05;0.95
79;1;0.0;0.0;0;0;0;0.9537326409363684;-0.8917901530284903;22;0;1.05;0.95
80;1;0.018357384615550462;0.006033521579099851;0;0;0;0.9537299471297828;-0.8918430135566936;22;0;1.05;0.95
81;1;0.0;0.0;0;0;0;0.9537265164559544;-0.8919106942273356;22;0;1.05;0.95
82;1;0.0;0.0;0;0;0;0.9536585870234058;-0.8932437478137778;22;0;1.05;0.95
83;1;0.0;0.0;0;0;0;0.95334670579475;-0.8996404241690333;22;0;1.05;0.95
